Projectname,Path,LOC
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,11
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,14
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,15
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,15
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/calendar/calendar.test.js,13
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/dashboard/dashboard.controller.test.js,20
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/dashboard/dashboard.controller.test.js,16
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/dashboard/dashboard.controller.test.js,23
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/dashboard/dashboard.controller.test.js,26
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/dashboard/dashboard.controller.test.js,10
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/camera/camera.controller.test.js,13
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/camera/camera.controller.test.js,13
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/camera/camera.controller.test.js,15
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,15
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,10
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,16
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,13
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,12
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,8
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/device/device.controller.test.js,5
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,22
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,25
Gladys,E:/IOT_INFO/repos/Gladys/server/test/controllers/gateway/gateway.controller.test.js,9
